category	W-val	p-val	RBC	CLES	cohen-d	cohen-d_lo	cohen-d_hi	n
insight	186400.5	6.673016914810831e-29	0.387702510938547	0.6145944783987258	0.3836763879872133	0.3144	0.4597	1197
agency	150344.5	5.045585132990719e-53	0.5269418590748047	0.6697529119373203	0.5417560666244178	0.4466	0.625	1197
