scorer	CV mean	CV std
accuracy	0.7469586374695865	0.022015767726099585
f1	0.7466946828736172	0.022079312319003574
precision	0.7476458330818503	0.02381109343440479
recall	0.7459854014598539	0.02496734507516358
roc_auc	0.7469586374695865	0.022015767726099554
