category	n_posts	n_users
non-lucid	32010	2971
lucid	14369	2433
uncategorized	13120	2449
dream fragment	9473	1690
memorable	8341	2071
side notes	3055	596
false awakening	2936	988
nightmare	2492	1087
task of the month	934	296
task of the year	270	109
