tag	n_posts	n_users
lucid	1615	593
school	1551	429
flying	1215	389
family	1033	224
water	949	241
non-lucid	893	213
car	749	243
sex	614	185
fight	544	160
friends	537	208
false awakening	536	222
house	536	203
food	521	152
dream	506	269
music	469	168
driving	456	187
video game	453	88
work	452	111
dild	450	124
wild	414	177
death	407	226
mom	395	132
friend	378	117
dad	377	138
night	360	116
non - lucid	360	46
party	357	186
fighting	334	124
