ngram	type2p_diff
lucid_lucid	1.991292e-04
fly_fly	9.202820e-05
reality_check	3.105266e-05
check_check	2.806695e-05
close_eye	2.774757e-05
control_control	2.515629e-05
finger_hand	2.467954e-05
sky_fly	2.453842e-05
land_fly	2.450144e-05
bed_bed	2.438485e-05
check_reality	2.429594e-05
bed_sleep	2.377881e-05
eye_eye	2.346694e-05
air_fly	2.113474e-05
rub_hand	2.066981e-05
dreaming_lucid	2.010582e-05
hand_rub	1.920550e-05
body_body	1.802356e-05
hand_finger	1.802088e-05
technique_lucid	1.763844e-05
room_living	1.744568e-05
real_real	1.711204e-05
beautiful_beautiful	1.556857e-05
ground_ground	1.520740e-05
lucid_dreaming	1.381651e-05
lose_lucidity	1.372564e-05
dream_lucidly	1.307567e-05
ocean_water	1.296884e-05
paralyze_dream	1.231744e-05
sleep_technique	1.199320e-05
awakening_false	1.189253e-05
finger_check	1.188780e-05
dild_fly	1.171633e-05
moon_fly	1.171338e-05
sleep_paralysis	1.168057e-05
sleep_awake	1.158093e-05
mind_attempt	1.143532e-05
count_count	1.134478e-05
reality_nose	1.102317e-05
sleep_sleep	1.089031e-05
lucid_clarity	1.077136e-05
mind_focus	1.003936e-05
safety_hand	9.962650e-06
nose_plug	9.920525e-06
lucid_succeed	9.819815e-06
sure_breath	9.793144e-06
clarity_high	9.683039e-06
change_change	9.546174e-06
hand_palm	9.454705e-06
follow_glow	9.361836e-06
feel_excitement	9.335840e-06
sleep_state	9.308567e-06
perfect_mean	9.285871e-06
aware_breath	9.285871e-06
stabilize_hand	9.265966e-06
task_task	9.116446e-06
teleport_fly	8.937592e-06
count_finger	8.868147e-06
follow_follow	8.864406e-06
create_light	8.831259e-06
realize_stabilize	8.826219e-06
nose_normal	8.805599e-06
pretty_stabilize	8.769989e-06
beginner_want	8.666813e-06
nose_nose	8.643215e-06
grass_grass	8.546570e-06
air_float	8.468730e-06
nose_rub	8.454824e-06
attempt_wild	8.367466e-06
appear_spiral	8.357283e-06
sudden_gate	8.357283e-06
boat_rock	8.319886e-06
green_purple	8.319194e-06
maybe_amazing	8.279413e-06
float_land	8.275749e-06
successfully_finger	8.254107e-06
little_curious	8.218374e-06
life_life	8.205248e-06
frighten_look	8.167015e-06
lucid_semi	8.121621e-06
staircase_room	8.070803e-06
firework_life	8.047754e-06
fade_fade	7.992149e-06
large_center	7.961212e-06
fly_cloud	7.955673e-06
fly_wing	7.890489e-06
sister_collect	7.841402e-06
fly_flying	7.832430e-06
increase_focus	7.831609e-06
aware_experience	7.814707e-06
breathing_reality	7.814707e-06
stroke_moment	7.766364e-06
finger_nose	7.760579e-06
cottage_decide	7.691867e-06
real_perfectly	7.683607e-06
hear_flow	7.668051e-06
try_glimpse	7.629368e-06
mind_achieve	7.628781e-06
door_bent	7.597530e-06
summon_reflection	7.597530e-06
