category	lucidity	mean	std	sem	min	max
agency	lucid	3.00945	1.20319	0.03481	0.00000	10.34480
agency	nonlucid	2.39339	0.98873	0.02860	0.00000	15.87300
insight	lucid	2.48886	1.02617	0.02968	0.00000	7.24638
insight	nonlucid	2.09567	0.92916	0.02688	0.00000	7.05882
