ngram	type2p_diff
lucid_dream	3.42291e-03
realize_dream	1.26574e-03
know_dream	1.20582e-03
reality_check	1.08424e-03
look_hand	8.01282e-04
close_eye	7.97041e-04
open_eye	7.27769e-04
try_fly	6.76756e-04
feel_like	6.73274e-04
rub_hand	6.39220e-04
lose_lucidity	5.54948e-04
lucid_dreaming	5.27683e-04
false_awakening	4.95822e-04
decide_try	4.49756e-04
fall_asleep	3.90712e-04
start_fly	3.76111e-04
dream_character	3.70893e-04
dream_control	3.48044e-04
wake_bed	3.37168e-04
dream_fade	3.12434e-04
start_fade	3.06736e-04
sleep_paralysis	2.97724e-04
dream_guide	2.96539e-04
dream_world	2.92606e-04
control_dream	2.75623e-04
stabilize_dream	2.66437e-04
realise_dream	2.61226e-04
decide_want	2.58284e-04
go_sleep	2.55990e-04
feel_real	2.50712e-04
get_excited	2.17559e-04
aware_dream	2.17048e-04
pinch_nose	2.14430e-04
get_lucid	2.11531e-04
nose_pinch	2.09993e-04
try_summon	2.09551e-04
living_room	2.05008e-04
count_finger	2.00382e-04
wake_real	1.97661e-04
plug_nose	1.94899e-04
enter_dream	1.90826e-04
decide_fly	1.86360e-04
go_bed	1.83526e-04
nose_plug	1.83244e-04
try_stabilize	1.80934e-04
lay_bed	1.74542e-04
wake_life	1.67184e-04
open_door	1.66373e-04
get_bed	1.65935e-04
dream_scene	1.61750e-04
feel_body	1.61715e-04
eye_open	1.58993e-04
right_hand	1.58303e-04
want_fly	1.52234e-04
look_sky	1.49555e-04
look_mirror	1.47737e-04
start_lose	1.43837e-04
jump_air	1.43315e-04
walk_door	1.42423e-04
semi_lucid	1.40082e-04
try_change	1.35356e-04
eye_close	1.32756e-04
lie_bed	1.32361e-04
lucid_lucid	1.28602e-04
remember_read	1.25718e-04
try_hard	1.25632e-04
start_spin	1.23093e-04
look_left	1.19280e-04
suddenly_realize	1.16565e-04
physical_body	1.14162e-04
have_lucid	1.11067e-04
fully_lucid	1.07926e-04
start_float	1.07412e-04
fly_away	1.07262e-04
walk_outside	1.04807e-04
finger_hand	1.04258e-04
try_wild	1.03113e-04
try_spin	1.01095e-04
hear_voice	1.01074e-04
able_control	1.00049e-04
fly_fly	9.78362e-05
try_control	9.73678e-05
try_imagine	9.72230e-05
remember_task	9.67217e-05
try_teleport	9.54689e-05
gain_lucidity	9.47729e-05
lose_control	9.45296e-05
check_hand	9.30689e-05
lucid_point	9.07689e-05
stay_lucid	8.91712e-05
body_feel	8.91474e-05
start_rub	8.87115e-05
fly_fast	8.84538e-05
think_maybe	8.71619e-05
dream_goal	8.59201e-05
look_clock	8.52896e-05
try_focus	8.47862e-05
little_bit	8.42044e-05
able_fly	8.35595e-05
fly_window	8.32531e-05
