ngram	type2score_1	type2score_2	type2freq_1	type2freq_2	type2p_diff	type2s_diff	type2p_avg	type2s_ref_diff	type2shift_score
assessment	1.720000e-01	1.720000e-01	2.753886e+00	5.000000e-01	-9.460268e-05	0.000000e+00	1.174346e-04	-3.280000e-01	2.395086e-04
attack	7.970000e-01	7.970000e-01	2.731242e+02	1.174557e+02	1.369725e-04	0.000000e+00	1.640663e-02	2.970000e-01	3.140030e-04
attacking	8.590000e-01	8.590000e-01	1.549397e-01	0.000000e+00	-9.268410e-06	0.000000e+00	4.634205e-06	3.590000e-01	-2.568287e-05
attorney	1.880000e-01	1.880000e-01	1.959934e+00	6.666667e-01	-2.373117e-05	0.000000e+00	1.053766e-04	-3.120000e-01	5.715017e-05
audition	1.560000e-01	1.560000e-01	9.188295e+00	1.764706e-01	-5.248859e-04	0.000000e+00	2.871959e-04	-3.440000e-01	1.393693e-03
auditions	2.660000e-01	2.660000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.340000e-01	0.000000e+00
auditor	2.970000e-01	2.970000e-01	2.821429e-02	0.000000e+00	-1.687763e-06	0.000000e+00	8.438816e-07	-2.030000e-01	2.644548e-06
avalanche	7.030000e-01	7.030000e-01	7.938599e-01	1.400000e-01	-2.785095e-05	0.000000e+00	3.356279e-05	2.030000e-01	-4.363951e-05
aversion	2.830000e-01	2.830000e-01	4.920691e-01	0.000000e+00	-2.943530e-05	0.000000e+00	1.471765e-05	-2.170000e-01	4.930286e-05
avoid	2.970000e-01	2.970000e-01	1.016015e+02	3.192108e+01	-1.600283e-03	0.000000e+00	5.277602e-03	-2.030000e-01	2.507475e-03
backtrack	1.510000e-01	1.510000e-01	2.502437e+00	2.000000e-02	-1.468891e-04	0.000000e+00	7.624987e-05	-3.490000e-01	3.956934e-04
badhabit	2.420000e-01	2.420000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.580000e-01	0.000000e+00
bailiff	1.470000e-01	1.470000e-01	2.522676e-01	0.000000e+00	-1.509051e-05	0.000000e+00	7.545255e-06	-3.530000e-01	4.111710e-05
bait	2.190000e-01	2.190000e-01	6.099227e+00	3.333333e-01	-3.180969e-04	0.000000e+00	2.058040e-04	-2.810000e-01	6.899373e-04
bale	2.970000e-01	2.970000e-01	1.754090e+00	0.000000e+00	-1.049287e-04	0.000000e+00	5.246434e-05	-2.030000e-01	1.644122e-04
banger	2.660000e-01	2.660000e-01	2.131377e-01	0.000000e+00	-1.274978e-05	0.000000e+00	6.374890e-06	-2.340000e-01	2.302833e-05
barbaric	8.590000e-01	8.590000e-01	2.640038e-02	0.000000e+00	-1.579256e-06	0.000000e+00	7.896281e-07	3.590000e-01	-4.376137e-06
bases	1.560000e-01	1.560000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.440000e-01	0.000000e+00
beast	7.340000e-01	7.340000e-01	2.909545e+01	1.556524e+01	4.428095e-04	0.000000e+00	1.961879e-03	2.340000e-01	7.997912e-04
