category	W_val	p_val	RBC	CLES	cohen-d	cohen-d_lo	cohen-d_hi	n
insight	212901.00000	0.00000	0.40315	0.62193	0.40174	0.33120	0.47110	1195
agency	166799.00000	0.00000	0.53317	0.67576	0.55954	0.47100	0.64500	1195
